CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347.0,2,7,862.02,2,Churn
12349.0,19,1,313.44,0,Churn
12350.0,310,1,26.200000000000003,0,Churn
12352.0,36,6,259.53000000000003,0,Churn
12353.0,204,1,29.300000000000004,0,Churn
12354.0,232,1,257.55,0,Churn
12355.0,214,1,53.10000000000001,0,Churn
12356.0,246,1,55.71,0,Churn
12357.0,33,1,167.1,0,Churn
12358.0,151,1,32.7,0,Churn
12359.0,58,4,1101.24,2,Churn
12360.0,52,3,827.76,2,Churn
12361.0,287,1,84.9,0,Churn
12362.0,3,10,1671.63,2,Churn
12364.0,8,2,50.150000000000006,0,Churn
12365.0,291,1,148.35000000000002,0,Churn
12367.0,4,1,27.0,0,Churn
12370.0,51,4,892.75,2,Churn
12371.0,60,1,310.9,0,Churn
12372.0,72,2,121.80000000000001,0,Churn
12373.0,311,1,82.9,0,Churn
12374.0,25,1,118.35000000000001,0,Churn
12375.0,11,2,150.3,0,Churn
12377.0,315,2,355.5,0,Churn
12378.0,130,1,1102.96,2,Churn
12379.0,82,2,358.64,0,Churn
12380.0,22,4,829.89,2,Churn
12381.0,33,2,386.54,0,Churn
12383.0,271,3,296.58,0,Churn
12384.0,29,2,130.82,0,Churn
12386.0,367,1,17.700000000000003,0,Churn
12388.0,76,5,371.71000000000004,0,Churn
12390.0,80,1,96.30000000000001,0,Churn
12391.0,22,1,235.12,0,Churn
12393.0,72,4,469.8,0,Churn
12394.0,217,1,88.34,0,Churn
12395.0,19,12,775.98,2,Churn
12397.0,36,2,693.84,2,Churn
12398.0,46,1,285.38,0,Churn
12399.0,214,2,165.8,0,Churn
12401.0,303,1,15.0,0,Churn
12402.0,323,1,136.8,0,Churn
12405.0,149,1,154.78,0,Churn
12406.0,22,2,146.4,0,Churn
12407.0,50,4,172.85000000000002,0,Churn
12408.0,33,5,594.39,0,Churn
12410.0,309,1,57.900000000000006,0,Churn
12412.0,169,1,67.6,0,Churn
12413.0,67,3,271.15000000000003,0,Churn
12415.0,144,3,121.05,0,Churn
12417.0,3,9,771.83,2,Churn
12418.0,113,1,67.55,0,Churn
12420.0,64,1,116.53999999999999,0,Churn
12421.0,16,4,232.79000000000002,0,Churn
12422.0,96,3,403.45000000000005,0,Churn
12423.0,1,8,625.9200000000001,0,Churn
12424.0,163,1,59.4,0,Churn
12425.0,78,1,171.9,0,Churn
12426.0,195,1,98.60000000000001,0,Churn
12427.0,22,3,117.06,0,Churn
12428.0,26,7,1419.88,2,Churn
12429.0,9,4,210.8,0,Churn
12430.0,43,1,30.0,0,Churn
12431.0,60,13,1171.75,2,Churn
12432.0,43,3,309.0,0,Churn
12433.0,1,6,738.22,2,Churn
12434.0,85,2,118.58000000000001,0,Churn
12436.0,100,1,42.1,0,Churn
12437.0,9,10,514.79,0,Churn
12438.0,14,2,331.48,0,Churn
12441.0,367,1,85.80000000000001,0,Churn
12442.0,3,1,35.400000000000006,0,Churn
12444.0,21,5,637.98,0,Churn
12446.0,58,1,424.57,0,Churn
12447.0,243,1,189.44,0,Churn
12448.0,44,1,58.5,0,Churn
12449.0,22,4,1149.28,2,Churn
12450.0,173,1,31.799999999999997,0,Churn
12451.0,11,5,995.3100000000001,2,Churn
12452.0,17,1,108.38000000000001,0,Churn
12453.0,134,1,157.04000000000002,0,Churn
12455.0,73,5,402.56,0,Churn
12456.0,44,3,449.13000000000005,0,Churn
12457.0,86,2,191.04,0,Churn
12458.0,71,2,169.4,0,Churn
12461.0,155,1,224.44,0,Churn
12462.0,19,2,229.94000000000003,0,Churn
12463.0,53,4,429.07,0,Churn
12464.0,201,3,45.9,0,Churn
12465.0,17,2,183.10000000000002,0,Churn
12468.0,188,2,192.4,0,Churn
12471.0,2,22,862.8000000000001,2,Churn
12472.0,32,7,1306.28,2,Churn
12473.0,54,3,698.0,2,Churn
